計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
0,2026/05/29,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,5bvfOo0MFkId3vGcOcGTDpwXCdbGVTxoNXtnXNFo3h0
1,2026/05/29,入 赤坂見附 出 地 渋谷,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,S47uYp01LPt_j5484xnIWEnsBgenpTjXmYnh6FkOdnc
1,2026/05/29,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,TlDxyJoFBV2GvljwqBwLp6sX8a7OA1ebfJ6R5tNKloQ
1,2026/05/29,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,ZDNHEHCSb5cFwFWBWFlUbVRIjqCuHZLyodvKxhhtarM
1,2026/05/27,イオンフ-ドスタイル,-133,楽天カード,日用品,日用品,,0,4qgyR3WScHMf03dJWGdCEtuHRsS_62C8VbZerXJ8Yv8
1,2026/05/27,入 地 東京 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,uOftA92363MYxtduYdoxTtacdVUe39LwJcVSvhfxKoQ
1,2026/05/27,入 舞浜 出 東京,-253,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,hlSSpzOpWeHmyySn2QR1J6zMFjrZLeQLbX_P4L-YKq4
1,2026/05/27,入 新木場 出 舞浜,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Cka0quw6tCPp6uEFHf3CkY_6IsT-y3mPHMU-3piZ0KY
1,2026/05/27,入 永田町 出 地新木場,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,VTlkr3L9jLdDY-LuCtjh9xZV4UB2NbXKfw3MEbRrgV8
1,2026/05/27,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,iXGk6kXRNMO1qNmsc-x_FWxcoUexGjqy6PqkxTu7558
0,2026/05/27,ラクテンカ-ドサ-ビス,-197299,楽天銀行,現金・カード,カード引き落とし,,1,L3Gfi8Gc0DSKqZ7ACsd5cOvl0zwhEdGyE3JXO0mdiEc
1,2026/05/27,SMBC(ニツポンガス,-1455,楽天銀行,水道・光熱費,ガス・灯油代,,0,ktVthncbN9KYA3nsAYPi-Esn8lNrkQRVumB45IuAbJI
1,2026/05/27,DF.ヤチントウ,-90550,楽天銀行,住宅,家賃・地代,,0,3YuL4XdacQom_XLrNZEpEnYNA_4bc5S1_0cKPCYPd8A
1,2026/05/26,シネマイクスピアリ,-2600,楽天カード,趣味・娯楽,映画・音楽・ゲーム,,0,biH3RCksqlTdztWkd86iqtV-nyVPxVsC6RdZIDFFi4c
1,2026/05/26,イオンフ-ドスタイル,-2101,楽天カード,日用品,日用品,,0,MOYzTkXHCzjOLBFw5U6UNH87iVgsPlitGZWzp0ZaFRc
1,2026/05/26,物販,-409,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,7hiNoJpGSmFFRYFvmM8sNpbZx_7Wjmq88VkLozXjgrY
1,2026/05/26,物販,-731,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,jwmEZ1ctBCXaZBTHM7_kkhaggFjOU90PD-gsY1wnqxY
1,2026/05/26,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,iGyq32sUrPUC6RqWTomjdsnlzj9tJO5nUj9HZjscpVQ
1,2026/05/26,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,oe78aN_boCwFqpd5bAAKqvdAtM7QN_c6IktUQcQ00_g
0,2026/05/25,Suicaチャージ(楽天ペイ),-3000,楽天カード,現金・カード,電子マネー,,1,nJ83QkAU81e0x4OKmX8uDXDfTnBVC1WyY9ALVCWXgEU
1,2026/05/25,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,_1YUsKypNbNXvd3791vMAwak0py9voFGVgf8LeOkJ-Y
0,2026/05/25,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,SZ-D0hj3Waqf2fMuOwo6-gnQ8pyT-Lco2OJfuSSjhJY
1,2026/05/25,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,uvxGpQucTsqkEd1Mf_ntny5nN8by0225sv3Q4KFVsaY
1,2026/05/25,給与 SBAW(カ)LINEヤフ-.カ,372086,楽天銀行,収入,給与,,0,NIfz-rr8K5zKDL9OzbcHnOuthQbxDTBmDnXtniLJuPk
1,2026/05/24,入 KQ羽1・2 出 春日,-583,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,b2PeRbImw3mkP0RkGmHxbfFeOT4LEwtQU-3uJ9RfWVY
1,2026/05/23,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,C_K2YS5949x7nPSMnDIl1D31n13cOGRahKCVS2QZTd0
1,2026/05/22,入 京急品川 出 KQ羽1・2,-327,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,jwli_ou8_y4JXa4yDGpN0XDoeCZ9jdGqKNuSY7RbUx4
1,2026/05/22,入 東京 出 品川,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,pDdPemOXSdYG18Anl2eGoFHnUd4ZFOuF3ddT_QfxDgc
1,2026/05/22,入 後楽園 出 地 東京,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,HtjPeMwwc5-288KIA1xOQ5UKACbFpOx9ywARt_QyKto
1,2026/05/22,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,TME5hTrxG5TsMW-FToQPlNpjIbZnKYsvxPMbsxccQ88
1,2026/05/21,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,7B8hISWrQH9xrSlT2ufMBPoow5MfWsoDcNLPNpavunE
1,2026/05/21,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,dF7K_hDYmiC0ZUGbRWnqx-5xTIQNTAHQfEOOStJGh-w
1,2026/05/20,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,P3AHXYB2lLCLNWG3efWUAgIkaHKavH87tEOgbmVmtrE
1,2026/05/20,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,fFbPxhnNCguzKDeo1YsdK4UXT1n8RyxqR4_-LheF-kw
1,2026/05/19,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,ibrSz0_Ys63MUr9-GsRqsRUNPT7ydk-VW3G0TKyq0DM
1,2026/05/19,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,titMbML1HSfmLe0gUpYdaJ3AX5hcEJMdqtj_iiQfYfk
1,2026/05/18,マイバスケツト,-846,楽天カード,食費,食料品,,0,hY0dpoNGtkrf1l_y-OX5o8OKNFefWyGbKXCcb2FODpg
0,2026/05/18,Suicaチャージ(楽天ペイ),-3000,楽天カード,現金・カード,電子マネー,,1,ApU7LMkwGne2OfbCdoadGMwucemUWEul7lq7tDq66_c
1,2026/05/18,物販,-213,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,kYKCYwhIz-5kPwNisaS5bzdKXy2FZayzGzYoQo7XkH8
1,2026/05/18,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,qeE8bU2Zklj7cCwcEiROwXo8Hw0R7AvFjk3tuBzkh3g
0,2026/05/18,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,oOdnngYYE0CM6Mdf-MtUmC_SkmhH7ZoF239Tle2qI_8
1,2026/05/18,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Uj6FIzL3aIArjJF4cYF5_ZN4jSyDNpsD4Gco-WeWIgQ
1,2026/05/17,トウキヨウデイズニ-リゾ-,-3100,楽天カード,現金・カード,カード引き落とし,,0,fim7P1CHbu_OEA99KhVDol2AT4oF287-y-zwUuZ8vws
1,2026/05/17,入 地新木場 出 後楽園,-252,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,FZROyEdfmiE5jJO5qITnhSyg9RTmLsdOlVi5XKTF1kM
1,2026/05/17,入 舞浜 出 新木場,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,E3srL6HaFhBGCEzjC9Nwx7pVZaWY6I6GQTtUkJZzPlY
1,2026/05/17,入 新木場 出 舞浜,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,tzHokSEWRWX5qxC5B7TU2fR5PnrdK81j3VWz0-t6PZk
1,2026/05/17,入 地 豊洲 出 地新木場,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,qvnLMo6j8gbaR568-G003_-HJSgP-BESAQ39xi9Ud7k
1,2026/05/17,入 市場前 出 ゆ 豊洲,-189,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,vOmJaAfM1N64MDbRpOfRggzGp3mnk5z5ay9CczJZda8
1,2026/05/17,入 ゆ 豊洲 出 市場前,-189,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,477vtuiMNbR0zYkO1eaO_NQ9uRNSQSpuFu19XfcAC9M
1,2026/05/17,入 後楽園 出 地 豊洲,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,wpTjoK2HosD8vwhGZSHATsM9kfjDu6sTZNAI8beneDU
0,2026/05/16,楽天証券投信積立0.5%~,-30000,楽天カード,未分類,未分類,,1,JwslxjM9Egd1T6LqXUE_9mLKUBifrTOlE0x42qR077g
1,2026/05/16,入 地 渋谷 出 後楽園,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,4DFSG1OhtSvzs3nJQmochzMxnl1DmmyLEhw120sZRp8
1,2026/05/16,入 後楽園 出 地 渋谷,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,VenkniSvdXc3tAzUwYlIS71-E9kLg8CVgD80Zf350WU
1,2026/05/15,アタミオサカナダイシヨクドウ,-9834,楽天カード,未分類,未分類,,0,7kkif6akme-g6xsY0__kyYdp_GtO7i_wK0GShEfyLbo
0,2026/05/15,Suicaチャージ(楽天ペイ),-3000,楽天カード,現金・カード,電子マネー,,1,B3RW9K4o7QiABUGuaVVWlPj3qMZuOTg4q571HGMsFVM
1,2026/05/15,入 東急小杉 出 後楽園,-436,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,DC6bonHAzF5aKzUcVnJyUKitlHx70UZfeB67MDrXhZU
1,2026/05/15,入 後楽園 出 東急小杉,-436,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,D-TC3IxSqWHgldj7NUeG4YC504tVPsYsNdUCYNYiKlI
0,2026/05/15,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,8a9XA2rz1dDjyD21UI4GdwWDEppXHfiYynI1Wz_A8xs
1,2026/05/15,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,WXCo8m0jZnHus_fEc0MNHILHYcBzMFlzzAEGarx_2sw
1,2026/05/14,クラシブヤテン,-4920,楽天カード,未分類,未分類,,0,tGFr8zTveSkrYP59rXikB32_3WMZFmtgDCAlDcxv4QQ
1,2026/05/14,入 地 渋谷 出 後楽園,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,HfW_F6bzQ6e21ruY5t1IaoP8eiVtK9sjjlCwxX9FzTA
1,2026/05/14,入 後楽園 出 地 渋谷,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,XxS3u5uabU7hzKuiqXSqMJAztTzr_SWMVR29tE0YzH0
1,2026/05/14,AP(カ)ユ-パワ-,-4693,楽天銀行,未分類,未分類,,0,o-EdqcNeVuAOZ7-_2YkEedsuN6PFAd53ixHlZmYVBm4
1,2026/05/13,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,bPwejLEeG9i5US2ey3gx4mP3Tlx4HkKaz4dxY1JinHU
1,2026/05/13,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,jp4AldN3g3NOT7o9CXeuM1TFx8RogJMY1_lzQL8ozCI
1,2026/05/12,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,gQb6DJT1Gn8ipOUsPiMGdh62plFTJe3edq9aQ2Tg_Bo
1,2026/05/12,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Sx5EAMARn1Lx34f_EwWBDPkrJ7Z9NZy6LqwOXVvGwiw
1,2026/05/11,ドンキホ-テコウラクエンテン,-624,楽天カード,日用品,日用品,,0,8EFSsdhTnwXKTjMC2SrCy7Dpz0RLcDAYZ0cOlvTMQq0
1,2026/05/11,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,VcSV-2aRS2oX-JAUyP_M5rRSyt3yXJcLGukK9u1JjVk
1,2026/05/11,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,3oQ_uVLIqPLpHJtD2pm4i0QUYbHdXUYbxqAsqSwQyxU
1,2026/05/10,物販,-332,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,QHrbvw3VkxLnwSp1wuFjcN92gl5g_R90vpw9opSISkA
1,2026/05/10,物販,-213,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,ASJ-ee7Qr4KuM0R0uJ3Q3r0W18Zx_TppcYEIx2VAC68
0,2026/05/09,Suicaチャージ(楽天ペイ),-3000,楽天カード,現金・カード,電子マネー,,1,zvUq_7VwiexfjMapxWrRkUMvvTiCiE5hgeMvqjwa7FU
1,2026/05/09,入 溝の口 出 後楽園,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,RfOFMA8Yvjt300PUEy8xWsgpVQSCDHiLXrrxH8HEAIw
1,2026/05/09,入 後楽園 出 溝の口,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,rUBoTyWczhZ3agA00Jt-mRteF2PCiN2Gf-1bgysvnrU
0,2026/05/09,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,_TUYcqu4P5rcJmCuobbH_EGs4mYjjDClOnbDpg9uBns
1,2026/05/08,イオンフ-ドスタイル,-1101,楽天カード,日用品,日用品,,0,2s00gn3WCCnXRHrGCYcwt3EXNwGzEPEqR9NklBQLnLg
1,2026/05/08,物販,-353,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,JJ6yQ-Ap4OQcqUGfNT4nSWUr-PNgAB3QUrB5nPSDutk
1,2026/05/08,物販,-213,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,J6HlVp4MXcMbJjcPQ-RgQ4kj9xP7NmRQa3RH9IWbXP0
1,2026/05/07,入 永田町 出 地 池袋,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,P8lvHwnFMnVZH37Th_ulRsdJzIhB2LlLFz8DP2-Jyr8
1,2026/05/07,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,LVn8TFLPbTENwlDFDGOjvgyZDwN2Ht-L-lxM7P7GNMo
1,2026/05/07,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,2w8D9tn-XECXkndXC_FMX6BlLmjdi5lKpoM-VlXz2KE
1,2026/05/05,オリンピツク ハクサンテン,-7240,楽天カード,食費,食料品,,0,fDxvAHvzU_DfyntRxqE7nJlnubArQ3Ey93sOh_SfhQM
1,2026/05/05,タツプル,-4400,楽天カード,未分類,未分類,,0,yUpnx4wzx3l0IU7rUjr_GCM3VKg5yJXqUmS3h5xdwSg
1,2026/05/05,マイバスケツト,-447,楽天カード,食費,食料品,,0,7MdoWlyZls_MZ90AeivOVCZBqdyu3u07tSb5hFsyhYI
1,2026/05/05,イオンフ-ドスタイル,-1995,楽天カード,日用品,日用品,,0,FF_WEmwuMwFWD7RfcenKZB-GjV9TrffCjfZuPyQbg2U
1,2026/05/05,物販,-536,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,KMHoS0isigYMM3mztc2smqhgy38idv-oCsE_LUBk8Cc
1,2026/05/04,カ)セイブライオンズウエブ,-7600,楽天カード,日用品,日用品,,0,uQyrczjIR50vGaFzZAA2BRWOH0ZtXzlSzVnEpU2o8iY
1,2026/05/04,入 溝の口 出 後楽園,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,zpiwX5hBKzuaJ0UebcB5z4Xjto63zjMczBgqzJLjmHo
1,2026/05/03,PARCO池袋,-3710,楽天カード,衣服・美容,衣服,,0,ao2GKrgliVkwqqjb0V1I8QmXa-4ezrwma1u6Et_NYYo
0,2026/05/03,Suicaチャージ(楽天ペイ),-3000,楽天カード,現金・カード,電子マネー,,1,xEdehkpxl1TLYPedEdMTuiWVhO8PGO28DKDBG5Tz6k4
1,2026/05/03,入 後楽園 出 溝の口,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Gte4d4u1xhlqu6VnkvcMKXLhZvyk0cDoBvykpJ-KbwI
1,2026/05/03,入 地 東京 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,42jii0WC16aTufRAKnguVtLHWgAntY4EQPW7Qq-9Z_k
1,2026/05/03,入 高輪ゲート 出 東京,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,_lBKR7OAgfqnvd-2BHaGvWhUuZOZNDcumbTleZaK-fc
1,2026/05/03,入 東京 出 高輪ゲート,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,gmoRo_V7Wv-Ns4QjboDjO33rY5UiC9Lzzg8LXkyuaKk
1,2026/05/03,入 後楽園 出 地 東京,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,HeHUx_gfmiXbGTcXuNVjgusIqESFSbtIgFfh1kbGVKc
0,2026/05/03,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,92U3KFzPyJkPIn7DCPydJshfTkcCqBrvOqypTSWVNIM
1,2026/05/03,入 地 池袋 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,di3I4isLNIJ4z6FU1povFbrXAsfOm8RE2_1iq6oS3SA
1,2026/05/03,入 後楽園 出 地 池袋,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,iGTHSfuevnlHVe7TUtT2-Pp0fYm_BDQOrj0K7ILl2vk
1,2026/05/02,チヤ-ジスポツト,-570,楽天カード,現金・カード,電子マネー,,0,Bfev94g8FdtBCmpGgQKHyxKENehrhohaYNYrp0YsR-E
1,2026/05/02,アマゾン マ-ケツト プレイ,-1530,楽天カード,教養・教育,書籍,,0,JyB1AQkrhSmwU76EChb4J7gI7Xa8NnYioqL2wJy5u0s
1,2026/05/02,入 溝の口 出 後楽園,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,LjAc_HsS_WQyhb3Q6nAxJcck2HWxA4N0xojZwlkhB9A
1,2026/05/01,入 東急大井 出 溝の口,-250,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,HJVFH22cyeZDmeUrvPio5VG_QLP0CxX-StFVmcFOZog
1,2026/05/01,入 東京 出 大井町,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Oz4X-0FfRYvSQHuUOtNMxU5_EfdvN8B2WOxgKebny-k
1,2026/05/01,入 後楽園 出 地 東京,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,L9bIkR6BWSXRAVeBTqpjFD5u6E1ujmhsMvdb7mMl7Uk
1,2026/04/30,ソフトバンクエム,-3017,楽天カード,通信費,携帯電話,,0,JSxQbAEaInJDixmfg6WdXbB37rp7pVqi54lLxnP-G0g
1,2026/04/30,入 溝の口 出 後楽園,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,e2HyXm1vwad1yFSaT0-LauDUBAr0CM5ChfgHQFoJTKA
1,2026/04/30,入 津田山 出 武溝ノ口,-155,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,hoUi1rVzjvWqJU22XrUy7PhaJQFqWUDAqfIRFm0sQMI
1,2026/04/30,入 武溝ノ口 出 津田山,-155,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,YB62rjNz-yalU8qr2mp213-yn3EZmLXUbPYDnMk6axs
1,2026/04/30,入 後楽園 出 溝の口,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,Ey8lQ3J5ilNJAVev8YscQv-2s1Sox_Bf0B8qQreYnH0
1,2026/04/29,シ-エヌプレイガイド,-5400,楽天カード,趣味・娯楽,スポーツ,,0,KHD8MTrNtipxgLYsbFsDWm7jb04ak3y8uPvORnD0I1Q
1,2026/04/29,シ-エヌプレイガイド,-7330,楽天カード,趣味・娯楽,スポーツ,,0,tosSnZxJuoDvFtxdVG2KUaCifibDhfwzUwqOEmMyyEA
0,2026/04/29,Suicaチャージ(楽天ペイ),-3000,楽天カード,現金・カード,電子マネー,,1,x79yw_Mot-0JR0OOTmQFHSECycpecdbhE-sdvZxYGos
1,2026/04/29,入 地 東京 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,BuCcAnNO7nEHY24ntJhQSyDWAcZQefACB50-_R8vLwY
1,2026/04/29,入 高輪ゲート 出 東京,-199,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,AJW-Y4ke085TZImp4L0K_AqkMMg-_SlF-84RgCbN9-w
0,2026/04/29,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,EBfC9BQdDcz0l8nm-ZQngvn-l_fDr2g84N5LEZK9As8
1,2026/04/29,入 東京 出 大崎,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,EWZO77uNEQKAEf_uj8uQK_2OkA1bz6AofUZUHl-8fHs
1,2026/04/29,入 後楽園 出 地 東京,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,xFNjhvpUL_In1Y56fqZ0tHylRxq5kIXXygbbHv6-yUY
1,2026/04/28,マイバスケツト,-322,楽天カード,食費,食料品,,0,wtEJZdigaoIaZQ2Ic21QXr86GBFK5G0QngkBfsF-LZg
1,2026/04/28,マイバスケツト,-150,楽天カード,食費,食料品,,0,EfPoXjqgNA0eDY1X3RNOUoC4RRR8Jv-UbPwrw9EF3dU
1,2026/04/28,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,5kv3KEhNfubPJ-RFuphwMCtPNlTFhd_bJmv6lH-mHow
1,2026/04/28,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,th-PqYIEyEhpTDQg986gDLKJLeF8DfEoNHyOAFOo5xU
1,2026/04/27,マイバスケツト,-989,楽天カード,食費,食料品,,0,V4qdv4tfD_Ip5nSIjHBE7U1-NejVJSspQMDFM25h2yY
0,2026/04/27,Suicaチャージ(楽天ペイ),-3000,楽天カード,現金・カード,電子マネー,,1,EaU3eLIC2CxtWOSwVWiGRD2WSru-RNTYLS11GMRkLU4
1,2026/04/27,物販,-751,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,RLy5EDEtZxQmqoAcgiAHxqAirwinmeN1LGCDZayq-go
1,2026/04/27,物販,-1511,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,bdS3uRs0Ras657SdbPmmCVCPvlmNTC-8Z8JLcN_-254
0,2026/04/27,現金,3000,モバイルSuica（モバイルSuica ID）,未分類,未分類,,1,l-ZwP0qWchM5xU7kS7WlRal0bGhnqqkaFmf5GT0rDZ0
0,2026/04/27,ラクテンカ-ドサ-ビス,-182047,楽天銀行,現金・カード,カード引き落とし,,1,BfFrpYdrUZqzYoZ4uJ8tXriuG1Y2DFYh-e0gAXNC5hA
1,2026/04/27,SMBC(ニツポンガス,-1395,楽天銀行,水道・光熱費,ガス・灯油代,,0,jAV8f4cua-k5gbtJbLq_hIXq17Z42-knB99i8D1B3F8
1,2026/04/27,DF.ヤチントウ,-90550,楽天銀行,住宅,家賃・地代,,0,uwi92RZQv36qEs2VOeceVX_XlOoOIEttQxI6t7kq7o0
1,2026/04/27,ラクテンEDYオンライン,-10000,楽天銀行,現金・カード,電子マネー,,0,Ue0pelt9xgUhPll6PrJTNMx0dDwU_LQGWDG63LSEsvk
1,2026/04/26,入 地 東京 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,ZxrPu-vsuABR_rCvzKGNba29kLMrxwBFnZ3EZa9E6ag
1,2026/04/26,入 舞浜 出 東京,-253,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,FKMv8tIXnIbpi62pTszmIyqltzzkG-XRq87bxI_TAkk
1,2026/04/25,トウキヨウデイズニ-リゾ-,-6500,楽天カード,現金・カード,カード引き落とし,,0,JKC7JzabnKrZqe5EMsGKLMZ7psXthTfN-REdrxfd3hg
1,2026/04/25,トウキヨウデイズニ-リゾ-,-2390,楽天カード,現金・カード,カード引き落とし,,0,zyVqxMlf8KoVEqvetQuRjTd1n2U-zwvxrgMBBZzVT3g
1,2026/04/25,トウキヨウデイズニ-リゾ-,-1600,楽天カード,現金・カード,カード引き落とし,,0,8IDtX2Z0TQNUyi-vbhoutNUkPH-Q8xqUt07r2b59V0w
1,2026/04/25,トウキヨウデイズニ-リゾ-,-400,楽天カード,現金・カード,カード引き落とし,,0,vUQnTmL03Vpm4S7KFYBua3O0pVmOEVLnubDFQBkIKB4
1,2026/04/25,トウキヨウデイズニ-リゾ-,-1900,楽天カード,現金・カード,カード引き落とし,,0,vniHfjOtGZk4fOgc5fNMN6Wqc6qZJhwn75wwzQnfsSo
1,2026/04/25,トウキヨウデイズニ-リゾ-,-2500,楽天カード,現金・カード,カード引き落とし,,0,5UPFdI23aw3F3HQ-M6St1O9K9TJ8HR0cHYlYtQdEmqo
1,2026/04/25,入 東京 出 舞浜,-253,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,sTTgzaMNGOqab60PV4mQuU2PgsSM2OCGdfSYbJDkyJE
1,2026/04/25,入 後楽園 出 地 東京,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,T2Rb9JIu9UJR-7Ih3F-26xmJr_YunB2EK9a2oyDkk9I
1,2026/04/24,磯丸水産 溝の口駅前店,-10469,楽天カード,食費,外食,,0,ID7hT1Zya4cwmws98YVw8YzM6ZB_kfdQCuebcEy3LvE
1,2026/04/24,入 溝の口 出 後楽園,-459,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,hNy5S5-9uo5NazCOOP3Xx0qSipRXiHkka-Z7pz9ciIo
1,2026/04/24,入 永田町 出 溝の口,-428,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,vb74ZFNbAXKpAWvRD2PTHzsjMGBZjuoRsN6a6T72uvk
1,2026/04/24,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,CQO3PwKA7xIUyyA6Ovs-EW3wr41X2CyeaiCvs5_-2VU
1,2026/04/24,給与 SBAW(カ)LINEヤフ-.カ,360229,楽天銀行,収入,給与,,0,Bk-dPKqABcCWKuyGgi7gxXAk6h_WFnpmy5hDDQlEYt8
1,2026/04/23,マイバスケツト,-717,楽天カード,食費,食料品,,0,g0i8gF79S80eYFZ8fRaSkUv76M70sEdfuZZekKpMwTk
1,2026/04/23,物販,-612,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,62bGiBfzcUaXQnVOWYmU3JfQ0wnvyS7sfipsIOWTesw
1,2026/04/22,UDEMYEU利用国IRL,-1300,楽天カード,現金・カード,カード引き落とし,,0,EjJGebUZ0RdR4EdUaZUYvoqHoVeF3OiWH6Kmbr1MBZQ
1,2026/04/22,UDEMYEU利用国IRL,-1300,楽天カード,現金・カード,カード引き落とし,,0,ZkNipY-kxGz_XT1MhBcTVqqLscZe0q7pW8wDLkWQfkQ
